TITLE = "PIV"
VARIABLES = "x", "y", "u", "v"
ZONE T="0", I=75, J=42
3.040000000000000000e+02 1.088000000000000000e+03 2.413330078125000000e-01 9.773353576660156250e+00
3.200000000000000000e+02 1.088000000000000000e+03 4.325428009033203125e-01 1.036922645568847656e+01
3.360000000000000000e+02 1.088000000000000000e+03 5.118293762207031250e-01 1.095308113098144531e+01
3.520000000000000000e+02 1.088000000000000000e+03 6.438694000244140625e-01 1.151161575317382812e+01
3.680000000000000000e+02 1.088000000000000000e+03 7.618160247802734375e-01 1.222753334045410156e+01
3.840000000000000000e+02 1.088000000000000000e+03 8.127517700195312500e-01 1.294651222229003906e+01
4.000000000000000000e+02 1.088000000000000000e+03 7.344703674316406250e-01 1.354912376403808594e+01
4.160000000000000000e+02 1.088000000000000000e+03 5.742416381835937500e-01 1.411992454528808594e+01
4.320000000000000000e+02 1.088000000000000000e+03 5.110321044921875000e-01 1.454834747314453125e+01
4.480000000000000000e+02 1.088000000000000000e+03 5.269641876220703125e-01 1.480353546142578125e+01
4.640000000000000000e+02 1.088000000000000000e+03 5.672416687011718750e-01 1.495074462890625000e+01
4.800000000000000000e+02 1.088000000000000000e+03 5.477466583251953125e-01 1.509926033020019531e+01
4.960000000000000000e+02 1.088000000000000000e+03 4.862670898437500000e-01 1.524020004272460938e+01
5.120000000000000000e+02 1.088000000000000000e+03 4.270935058593750000e-01 1.537415695190429688e+01
5.280000000000000000e+02 1.088000000000000000e+03 3.803253173828125000e-01 1.545358848571777344e+01
5.440000000000000000e+02 1.088000000000000000e+03 3.783435821533203125e-01 1.548576831817626953e+01
5.600000000000000000e+02 1.088000000000000000e+03 3.900165557861328125e-01 1.552735519409179688e+01
5.760000000000000000e+02 1.088000000000000000e+03 3.596229553222656250e-01 1.557005405426025391e+01
5.920000000000000000e+02 1.088000000000000000e+03 3.089618682861328125e-01 1.557292842864990234e+01
6.080000000000000000e+02 1.088000000000000000e+03 2.679195404052734375e-01 1.558770942687988281e+01
6.240000000000000000e+02 1.088000000000000000e+03 2.243213653564453125e-01 1.564894580841064453e+01
6.400000000000000000e+02 1.088000000000000000e+03 2.168064117431640625e-01 1.563680934906005859e+01
6.560000000000000000e+02 1.088000000000000000e+03 2.107810974121093750e-01 1.568631744384765625e+01
6.720000000000000000e+02 1.088000000000000000e+03 2.251892089843750000e-01 1.569366645812988281e+01
1.600000000000000000e+01 1.104000000000000000e+03 1.721908569335937500e+00 1.535732460021972656e+01
3.200000000000000000e+01 1.104000000000000000e+03 1.853155136108398438e+00 1.542903423309326172e+01
4.800000000000000000e+01 1.104000000000000000e+03 1.514553070068359375e+00 1.620955085754394531e+01
6.400000000000000000e+01 1.104000000000000000e+03 1.130712509155273438e+00 1.698428153991699219e+01
8.000000000000000000e+01 1.104000000000000000e+03 8.885498046875000000e-01 1.737178230285644531e+01
9.600000000000000000e+01 1.104000000000000000e+03 9.100990295410156250e-01 1.741524887084960938e+01
1.120000000000000000e+02 1.104000000000000000e+03 1.117307662963867188e+00 1.714884185791015625e+01
1.280000000000000000e+02 1.104000000000000000e+03 1.250629425048828125e+00 1.633015251159667969e+01
1.440000000000000000e+02 1.104000000000000000e+03 1.142601013183593750e+00 1.486357688903808594e+01
